source,target,coef_mean,coef_abs,p,-logp
Mef2c,Ccdc85a,0.0032523253,0.0032523253,4.061723945103555e-07,6.39128959673433
Foxa1,Ccdc85a,-6.3501364e-05,6.3501364e-05,0.9077965630764304,0.04201146583173162
Tfap2b,Ccdc85a,-0.0021952675,0.0021952675,0.0010632347249241738,2.9733708479074212
Pax5,Ccdc85a,0.006999755,0.006999755,6.426637791232606e-08,7.192016176470773
Mlxipl,Ccdc85a,0.010042577,0.010042577,1.2243994694389789e-05,4.912076867264652
Stat4,Ccdc85a,-0.0019749168,0.0019749168,0.000766792390352309,3.115322205711033
Mbd1,Ccdc85a,0.0100962585,0.0100962585,4.948466720020005e-08,7.305529346154814
Plagl1,Ccdc85a,0.010793406,0.010793406,1.4287380496128633e-10,9.845047389148819
Hes1,Ccdc85a,0.0001760651,0.0001760651,0.7675279882884344,0.11490577879852792
Gata3,Ccdc85a,-0.0010168083,0.0010168083,0.13173394932792534,0.8803022880164197
Runx3,Ccdc85a,0.00014498006,0.00014498006,0.7863780959602886,0.10436859199187097
Tbx15,Ccdc85a,0.008985016,0.008985016,2.1006908030212342e-07,6.6776378659298965
Pou2f2,Ccdc85a,0.008789578,0.008789578,2.420896058516387e-14,13.616023856647416
Zbtb7c,Ccdc85a,-0.00042422727,0.00042422727,0.15223829406309797,0.8174760912681592
Foxa1,Ccdc88a,0.00044336196,0.00044336196,0.6537577234647218,0.184583167358633
Erg,Ccdc88a,0.011481089,0.011481089,4.880721578514138e-07,6.311515966029967
Tfap2b,Ccdc88a,0.016358279,0.016358279,4.838996093563471e-07,6.31524472848954
Irf8,Ccdc88a,0.0063420725,0.0063420725,0.00020425328619930134,3.689830947443076
Ppara,Ccdc88a,0.013609852,0.013609852,9.134779867076426e-07,6.039301913956316
Nr4a3,Ccdc88a,-0.0011892123,0.0011892123,0.19225298732276927,0.7161269031899142
Mbd1,Ccdc88a,0.02606793,0.02606793,2.1013876622265722e-06,5.677493821922714
Plagl1,Ccdc88a,0.03088024,0.03088024,0.00011615393988333923,3.9349660545630663
Maf,Ccdc88a,0.008016082,0.008016082,0.003735614123684045,2.4276379912775563
Esr1,Ccdc88a,0.0029499028,0.0029499028,0.05429826328533455,1.265214060975755
Ehf,Ccdc88a,-0.0059018354,0.0059018354,0.06625677468556539,1.1787697089664952
Egr1,Ccdc88a,0.007999738,0.007999738,2.823418618679392e-13,12.549224725712769
Bcl11b,Ccdc88a,0.013243438,0.013243438,0.00046816631508826565,3.3295998373236464
Myb,Ccdc88a,0.0073262868,0.0073262868,7.894983705848948e-05,4.102648761978321
Fos,Ccdc88a,-0.0061037163,0.0061037163,0.003278794674494209,2.4842857789775294
Mlxipl,Ccdc88a,0.0040017203,0.0040017203,0.013838191883257737,1.8589206516728167
Stat4,Ccdc88a,-0.017402908,0.017402908,3.752441227109896e-07,6.42568610120108
Pgr,Ccdc88a,0.0024929969,0.0024929969,0.005330212694565297,2.273255460723329
Pparg,Ccdc88a,0.006144081,0.006144081,2.5173821977191252e-05,4.599050843347362
Mitf,Ccdc88a,0.018130893,0.018130893,4.2870868838241874e-07,6.367837714813825
Runx3,Ccdc88a,0.008643648,0.008643648,1.2635242509603426e-05,4.898416418202171
Pou2f2,Ccdc88a,-0.0023264268,0.0023264268,0.1149636625634766,0.9394394087067316
Mef2c,Ccdc88a,0.033598546,0.033598546,1.3353901446610414e-07,6.87439183323592
Foxp3,Ccdc88a,-0.01567307,0.01567307,6.596860234329713e-10,9.180662717087104
Foxn1,Ccdc88a,-0.012471722,0.012471722,1.848474591378782e-08,7.73318651474185
